Business Name,Address,City,State,ZIP,Phone Number,Email,Website URL,Google Maps URL
"Premier Towing and Recovery","13889 West St, Cedar Springs, MI 49319","Cedar Springs","MI","49319","(616) 696-9800","","premiertowingmi.com","https://www.google.com/maps/place/Premier+Towing+and+Recovery/data=!4m7!3m6!1s0x8818fce7fae6a045:0x7c79d75296731c7f!8m2!3d43.217927!4d-85.561357!16s%2Fg%2F1tx47nmh!19sChIJRaDm-uf8GIgRfxxzllLXeXw?authuser=0&hl=en&rclk=1"
"J & K Roadside Assistance LLC","1177 O E Bieri Industrial Dr, Lowell, MI 49331","Lowell","MI","49331","(616) 690-0983","","jandkroadsideservice.com","https://www.google.com/maps/place/J+%26+K+Roadside+Assistance+LLC/data=!4m7!3m6!1s0x881845a8a5533735:0xb551e3c7894a9ada!8m2!3d42.9442399!4d-85.3517766!16s%2Fg%2F11c5h2n0gb!19sChIJNTdTpahFGIgR2ppKicfjUbU?authuser=0&hl=en&rclk=1"
"Phil's Towing","6405 W M-72 Hwy, Grayling, MI 49738","Grayling","MI","49738","(989) 348-8787","","philstowingandautomotive.com","https://www.google.com/maps/place/Phil%27s+Towing/data=!4m7!3m6!1s0x882010ca488d1d69:0x7c5193d6c9a0b3ae!8m2!3d44.6547633!4d-84.7356726!16s%2Fg%2F1x5qtd58!19sChIJaR2NSMoQIIgRrrOgydaTUXw?authuser=0&hl=en&rclk=1"
"Auto Solutions Towing","4255 N Clare Ave, Harrison, MI 48625","Harrison","MI","48625","(989) 339-5559","","joesautosolutions.com","https://www.google.com/maps/place/Auto+Solutions+Towing/data=!4m7!3m6!1s0x8821dd1b266de8eb:0xbff2b03c39822bcb!8m2!3d44.0508749!4d-84.8090179!16s%2Fg%2F11pd0s8dmn!19sChIJ6-htJhvdIYgRyyuCOTyw8r8?authuser=0&hl=en&rclk=1"
"Ryan's Towing","10849 Northland Dr NE, Rockford, MI 49341","Rockford","MI","49341","(616) 863-6062","","ryanstowing.com","https://www.google.com/maps/place/Ryan%27s+Towing/data=!4m7!3m6!1s0x8818fc322cef8105:0x5720c70672ba822!8m2!3d43.1619744!4d-85.5512218!16s%2Fg%2F11b77yr3hh!19sChIJBYHvLDL8GIgRIqgrZ3AMcgU?authuser=0&hl=en&rclk=1"
"Javion & Sams 24 Hour Towing","2416 Hubbard St, Detroit, MI 48216","Detroit","MI","48216","(313) 842-7600","","","https://www.google.com/maps/place/Javion+%26+Sams+24+Hour+Towing/data=!4m7!3m6!1s0x883b32bc4749625b:0xc03d79fa1e865f7b!8m2!3d42.3256648!4d-83.0941238!16s%2Fg%2F1tdgqhgs!19sChIJW2JJR7wyO4gRe1-GHvp5PcA?authuser=0&hl=en&rclk=1"
"D & N Garage, Inc","4929 M-76, Alger, MI 48610","Alger","MI","48610","(989) 345-2118","","dntowing.com","https://www.google.com/maps/place/D+%26+N+Garage,+Inc/data=!4m7!3m6!1s0x8821032c389464b7:0x5b27798cf01e8b70!8m2!3d44.1930382!4d-84.167798!16s%2Fg%2F11n095420g!19sChIJt2SUOCwDIYgRcIse8Ix5J1s?authuser=0&hl=en&rclk=1"
"UNIVERSITY AUTO TOWING AND RECOVERY","939 Farmer St, Detroit, MI 48226","Detroit","MI","48226","(313) 425-5086","","","https://www.google.com/maps/place/UNIVERSITY+AUTO+TOWING+AND+RECOVERY/data=!4m7!3m6!1s0x8824d3a3fa0107db:0xbd4ba6a61b0738b7!8m2!3d42.3322918!4d-83.0443783!16s%2Fg%2F11rwr0g3g_!19sChIJ2wcB-qPTJIgRtzgHG6amS70?authuser=0&hl=en&rclk=1"
"Central Michigan Towing","8151 Rolling Dr, Lake, MI 48632","Lake","MI","48632","(989) 588-6180","","tonster2255.wixsite.com","https://www.google.com/maps/place/Central+Michigan+Towing/data=!4m7!3m6!1s0x8821e3ddb32af23f:0x3c8ea11614737eed!8m2!3d43.816595!4d-85.011977!16s%2Fg%2F1yghbv_my!19sChIJP_Iqs93jIYgR7X5zFBahjjw?authuser=0&hl=en&rclk=1"
"Lakeside Towing & Recovery","624 E Savidge St, Spring Lake, MI 49456","Spring Lake","MI","49456","(616) 842-8940","","lakesidetowingsl.com","https://www.google.com/maps/place/Lakeside+Towing+%26+Recovery/data=!4m7!3m6!1s0x88198183152550e3:0x2b6b0f7f73964ee!8m2!3d43.0757217!4d-86.1839218!16s%2Fg%2F1v2gfcdf!19sChIJ41AlFYOBGYgR7mQ59_ewtgI?authuser=0&hl=en&rclk=1"
"Auburn Towing & Repair","108 S Auburn St, Auburn, MI 48611","Auburn","MI","48611","(989) 686-4161","","towingbaycity.com","https://www.google.com/maps/place/Auburn+Towing+%26+Repair/data=!4m7!3m6!1s0x8823d9fd67dfaca7:0xeff878bb3dc1997d!8m2!3d43.6028238!4d-84.0695274!16s%2Fg%2F11svgmk7qq!19sChIJp6zfZ_3ZI4gRfZnBPbt4-O8?authuser=0&hl=en&rclk=1"
"Omar's Towing","9060 Osmo St, Kaleva, MI 49645","Kaleva","MI","49645","(231) 651-0746","","towingkaleva.com","https://www.google.com/maps/place/Omar%27s+Towing/data=!4m7!3m6!1s0x881e61626c99bdb3:0xdbf2cbca9fefbb1a!8m2!3d44.3709213!4d-86.0104581!16s%2Fg%2F11lkj1m83n!19sChIJs72ZbGJhHogRGrvvn8rL8ts?authuser=0&hl=en&rclk=1"
"Poe's Towing Services","1069 S Main St, Adrian, MI 49221","Adrian","MI","49221","(517) 263-3700","","poestowing.com","https://www.google.com/maps/place/Poe%27s+Towing+Services/data=!4m7!3m6!1s0x883cf109f65d50bd:0x335f2b43a94215ba!8m2!3d41.8824296!4d-84.0429125!16s%2Fg%2F1tgq79_f!19sChIJvVBd9gnxPIgRuhVCqUMrXzM?authuser=0&hl=en&rclk=1"
"Tri-City Towing Service LLC","431 N Griffin St Suite 2, Grand Haven, MI 49417","Grand Haven","MI","49417","(616) 842-9610","","","https://www.google.com/maps/place/Tri-City+Towing+Service+LLC/data=!4m7!3m6!1s0x881981107657d8fd:0x1fbcaf72a319db1a!8m2!3d43.0662231!4d-86.2112106!16s%2Fg%2F1tjdmbxj!19sChIJ_dhXdhCBGYgRGtsZo3KvvB8?authuser=0&hl=en&rclk=1"
"Petoskey Towing","58 Bridge St, Petoskey, MI 49770","Petoskey","MI","49770","(231) 347-1803","","","https://www.google.com/maps/place/Petoskey+Towing/data=!4m7!3m6!1s0x4d4a8509680002bd:0x61c61b3da7d9d63!8m2!3d45.3687473!4d-84.962767!16s%2Fg%2F11h15_8tyw!19sChIJvQIAaAmFSk0RY5192rNhHAY?authuser=0&hl=en&rclk=1"
"Captain Hooks Towing and Recovery","715 N Lafayette St, Greenville, MI 48838","Greenville","MI","48838","(616) 754-4808","","","https://www.google.com/maps/place/Captain+Hooks+Towing+and+Recovery/data=!4m7!3m6!1s0x88188cde97704457:0xdfc7648dacbd7760!8m2!3d43.188482!4d-85.2552346!16s%2Fg%2F11bzt1qbtx!19sChIJV0Rwl96MGIgRYHe9rI1kx98?authuser=0&hl=en&rclk=1"
"Cheboygan Towing","1371 Mackinaw Ave, Cheboygan, MI 49721","Cheboygan","MI","49721","(231) 627-5227","","cheboygantowingandrecovery.com","https://www.google.com/maps/place/Cheboygan+Towing/data=!4m7!3m6!1s0x4d359653243d6d47:0x55761daad5de66d3!8m2!3d45.6582255!4d-84.4916825!16s%2Fg%2F11b6xf7wlk!19sChIJR209JFOWNU0R02be1aoddlU?authuser=0&hl=en&rclk=1"
"Detroit Towing Group","33414 Kelly Rd, Clinton Township, MI 48035","Clinton Township","MI","48035","(586) 405-0613","","detroittowinggroup.com","https://www.google.com/maps/place/Detroit+Towing+Group/data=!4m7!3m6!1s0x8824d8ecabc47b71:0x42d61bdc23defe3b!8m2!3d42.5430763!4d-82.9291535!16s%2Fg%2F11c5b2lhy6!19sChIJcXvEq-zYJIgRO_7eI9wb1kI?authuser=0&hl=en&rclk=1"
"Peterson's Towing","324 N Mitchell St, Cadillac, MI 49601","Cadillac","MI","49601","(231) 775-8681","","petersonstow.com","https://www.google.com/maps/place/Peterson%27s+Towing/data=!4m7!3m6!1s0x881f08e0d5ba1147:0x12227f8ee3f128f9!8m2!3d44.2529513!4d-85.4010354!16s%2Fg%2F1tcylngy!19sChIJRxG61eAIH4gR-Sjx445_IhI?authuser=0&hl=en&rclk=1"
"Reliable Towing Services","1288 9th St, Muskegon, MI 49440","Muskegon","MI","49440","(231) 722-1309","","facebook.com","https://www.google.com/maps/place/Reliable+Towing+Services/data=!4m7!3m6!1s0x881bd62b3a0d1783:0xb5b4cefcde127056!8m2!3d43.2293468!4d-86.2593077!16s%2Fg%2F1tgq7805!19sChIJgxcNOivWG4gRVnAS3vzOtLU?authuser=0&hl=en&rclk=1"
"Statewide Towing and Auto Recovery","12907 Pleasanton Hwy, Bear Lake, MI 49614","Bear Lake","MI","49614","(231) 233-4834","","","https://www.google.com/maps/place/Statewide+Towing+and+Auto+Recovery/data=!4m7!3m6!1s0x881e7b0fa0bc2453:0xcaeaad05d68dbe54!8m2!3d44.4294177!4d-86.1297852!16s%2Fg%2F11bzxymrk9!19sChIJUyS8oA97HogRVL6N1gWt6so?authuser=0&hl=en&rclk=1"
"M57 Towing & Auto Repair","12458 Vienna Rd, Montrose, MI 48457","Montrose","MI","48457","(810) 639-9999","","facebook.com","https://www.google.com/maps/place/M57+Towing+%26+Auto+Repair/data=!4m7!3m6!1s0x882397fd056a6bad:0x536cf1bafb736705!8m2!3d43.1765072!4d-83.9300536!16s%2Fg%2F1tjmf85p!19sChIJrWtqBf2XI4gRBWdz-7rxbFM?authuser=0&hl=en&rclk=1"
"GENERAL TOWING INC","2290 Auburn Rd, Auburn Hills, MI 48326","Auburn Hills","MI","48326","(248) 338-3700","","generaltowinginc.com","https://www.google.com/maps/place/GENERAL+TOWING+INC/data=!4m7!3m6!1s0x8824c07a4badf613:0xe4708f2f6dc65963!8m2!3d42.633424!4d-83.2435901!16s%2Fg%2F1vppt446!19sChIJE_atS3rAJIgRY1nGbS-PcOQ?authuser=0&hl=en&rclk=1"
"AuSable Towing & Recovery","4365 M-72, Grayling, MI 49738","Grayling","MI","49738","(989) 344-8698","","ausabletowing.com","https://www.google.com/maps/place/AuSable+Towing+%26+Recovery/data=!4m7!3m6!1s0x8820138ca17e14f5:0xda6e05b1e655ac21!8m2!3d44.6559181!4d-84.6955032!16s%2Fg%2F11b6hq0rnr!19sChIJ9RR-oYwTIIgRIaxV5rEFbto?authuser=0&hl=en&rclk=1"
"East Beltline Towing and Service, Inc.","5277 Plainfield Ave NE Suite 100, Grand Rapids, MI 49525","Grand Rapids","MI","49525","(616) 942-5210","","eastbeltlinetowing.net","https://www.google.com/maps/place/East+Beltline+Towing+and+Service,+Inc./data=!4m7!3m6!1s0x8818552182d8c9a3:0xbd7c7164f6c94b47!8m2!3d43.0573928!4d-85.5848178!16s%2Fg%2F1t_tkxkv!19sChIJo8nYgiFVGIgRR0vJ9mRxfL0?authuser=0&hl=en&rclk=1"
"Tapper Towing LLC","125 W Michigan Ave, Paw Paw, MI 49079","Paw Paw","MI","49079","(269) 415-0285","","towtruckpawpawmi.com","https://www.google.com/maps/place/Tapper+Towing+LLC/data=!4m7!3m6!1s0x88176a4b799092ed:0x10fc20d91d5ecfc9!8m2!3d42.217696!4d-85.8942236!16s%2Fg%2F1tgfx751!19sChIJ7ZKQeUtqF4gRyc9eHdkg_BA?authuser=0&hl=en&rclk=1"
"Nelson's Towing","6314 Blakely Dr NE, Rockford, MI 49341","Rockford","MI","49341","(616) 866-0503","","nelsonstowingrockford.com","https://www.google.com/maps/place/Nelson%27s+Towing/data=!4m7!3m6!1s0x8818552d9d96b955:0x2e7d381859cb4332!8m2!3d43.0776532!4d-85.5306073!16s%2Fg%2F11jz7n71mc!19sChIJVbmWnS1VGIgRMkPLWRg4fS4?authuser=0&hl=en&rclk=1"
"I-96 Towing & Repair","7770 S State Rd, Portland, MI 48875","Portland","MI","48875","(616) 374-0123","","i96towing.com","https://www.google.com/maps/place/I-96+Towing+%26+Repair/data=!4m7!3m6!1s0x88186d19f0fa703d:0x1778107655afb82b!8m2!3d42.8750728!4d-85.075901!16s%2Fg%2F1wrtdgg_!19sChIJPXD68BltGIgRK7ivVXYQeBc?authuser=0&hl=en&rclk=1"
"Newaygo Towing","8119 Mason Dr, Newaygo, MI 49337","Newaygo","MI","49337","(231) 652-9454","","towingnewaygo.com","https://www.google.com/maps/place/Newaygo+Towing/data=!4m7!3m6!1s0x88193d7e4adb9685:0x495ca294ac58e2e7!8m2!3d43.4082507!4d-85.8052841!16s%2Fg%2F1xfspbq_!19sChIJhZbbSn49GYgR5-JYrJSiXEk?authuser=0&hl=en&rclk=1"
"Michigan Off Road Recovery","112 Fisher St, Bay City, MI 48706","Bay City","MI","48706","(989) 279-0709","","michiganoffroadrecovery.com","https://www.google.com/maps/place/Michigan+Off+Road+Recovery/data=!4m7!3m6!1s0x8823e106d942fb4d:0x32079feedc7aaf60!8m2!3d43.5949197!4d-83.9065882!16s%2Fg%2F11ryjsrglv!19sChIJTftC2QbhI4gRYK963O6fBzI?authuser=0&hl=en&rclk=1"
"General Towing & Recovery LLC","6369 N Dort Hwy, Mt Morris, MI 48458","Mt Morris","MI","48458","(810) 686-8200","","","https://www.google.com/maps/place/General+Towing+%26+Recovery+LLC/data=!4m7!3m6!1s0x8823869e13980379:0xc3dd6121104bcd2e!8m2!3d43.1008823!4d-83.6763689!16s%2Fg%2F1tkl3yf0!19sChIJeQOYE56GI4gRLs1LECFh3cM?authuser=0&hl=en&rclk=1"
"T&J's Towing & Hauling LLC","10229 S Graham Rd, St Charles, MI 48655","St Charles","MI","48655","(989) 239-6980","","tandjtowingmi.com","https://www.google.com/maps/place/T%26J%27s+Towing+%26+Hauling+LLC/data=!4m7!3m6!1s0x8823a457be8892d5:0x1c3a5ea6afe76443!8m2!3d43.2757067!4d-84.1530189!16s%2Fg%2F124y9xzqn!19sChIJ1ZKIvlekI4gRQ2Tnr6ZeOhw?authuser=0&hl=en&rclk=1"
"Brewer's Towing","1763 Plymouth Rd, Ann Arbor, MI 48105","Ann Arbor","MI","48105","(734) 665-8888","","brewerstowing.com","https://www.google.com/maps/place/Brewer%27s+Towing/data=!4m7!3m6!1s0x883cae7e2c9e5bd9:0x6450cb500ca8c0ad!8m2!3d42.2983651!4d-83.7201144!16s%2Fg%2F11bymzs5s6!19sChIJ2VueLH6uPIgRrcCoDFDLUGQ?authuser=0&hl=en&rclk=1"
"Scoob's Towing, LLC","11421 Birch Dr, Lakeview, MI 48850","Lakeview","MI","48850","(616) 318-7842","","facebook.com","https://www.google.com/maps/place/Scoob%27s+Towing,+LLC/data=!4m7!3m6!1s0xa68713bc4e0f6771:0xfc64d3ff7fc2abe4!8m2!3d43.459279!4d-85.2136107!16s%2Fg%2F11jzkwq3qw!19sChIJcWcPTrwTh6YR5KvCf__TZPw?authuser=0&hl=en&rclk=1"
"Price’s Towing & Auto salvage","2735 S Center Rd, Saginaw, MI 48609","Saginaw","MI","48609","(989) 792-3938","","","https://www.google.com/maps/place/Price%E2%80%99s+Towing+%26+Auto+salvage/data=!4m7!3m6!1s0x8823c1629fb5f6fb:0xf28639d775fc9b44!8m2!3d43.3831945!4d-84.0113718!16s%2Fg%2F11r253wwdl!19sChIJ-_a1n2LBI4gRRJv8ddc5hvI?authuser=0&hl=en&rclk=1"
"Berry's & Gillikin's Towing- North","5480 W River Dr NE, Comstock Park, MI 49321","Comstock Park","MI","49321","(616) 363-9500","","berrysgillikinstowing.com","https://www.google.com/maps/place/Berry%27s+%26+Gillikin%27s+Towing-+North/data=!4m7!3m6!1s0x8819abd94616ad2f:0x9a2d182c88a6a6a0!8m2!3d43.0613126!4d-85.6358706!16s%2Fg%2F11h32_c61t!19sChIJL60WRtmrGYgRoKamiCwYLZo?authuser=0&hl=en&rclk=1"
"HD Towing LLC","3424 Pointer Rd, West Branch, MI 48661","West Branch","MI","48661","(989) 345-0135","","","https://www.google.com/maps/place/HD+Towing+LLC/data=!4m7!3m6!1s0x8821ab66dd5511f3:0x1ac77f02266ca7ff!8m2!3d44.2332343!4d-84.3062783!16s%2Fg%2F11rqx_w8hh!19sChIJ8xFV3WarIYgR_6dsJgJ_xxo?authuser=0&hl=en&rclk=1"
"Pro Towing & Sales","7836 US-2, Rapid River, MI 49878","Rapid River","MI","49878","(906) 474-2220","","2and41trailersales.com","https://www.google.com/maps/place/Pro+Towing+%26+Sales/data=!4m7!3m6!1s0x4d4dc61a35932035:0x3cfcd96e13df107a!8m2!3d45.9266801!4d-86.969097!16s%2Fg%2F11jlzz6z9r!19sChIJNSCTNRrGTU0RehDfE27Z_Dw?authuser=0&hl=en&rclk=1"
"Frontline Towing & Recovery","7880 Federal Rd, Howard City, MI 49329","Howard City","MI","49329","(989) 287-2278","","frontlinetow.com","https://www.google.com/maps/place/Frontline+Towing+%26+Recovery/data=!4m7!3m6!1s0x8818ed3dca049953:0xe0974973a4f2db62!8m2!3d43.4092298!4d-85.4660109!16s%2Fg%2F11j8wmhrdr!19sChIJU5kEyj3tGIgRYtvypHNJl-A?authuser=0&hl=en&rclk=1"
"Nationwide Towing & Heavy Duty Semi Truck Wrecker","191 Hiscock St, Ann Arbor, MI 48103","Ann Arbor","MI","48103","(734) 492-5800","","towmycarannarbor.com","https://www.google.com/maps/place/Nationwide+Towing+%26+Heavy+Duty+Semi+Truck+Wrecker/data=!4m7!3m6!1s0x883caffdd6df89c1:0xce57624fa2890212!8m2!3d42.2880519!4d-83.7499531!16s%2Fg%2F11fl8y14zr!19sChIJwYnf1v2vPIgREgKJok9iV84?authuser=0&hl=en&rclk=1"
"Jeromes Towing & Heavy Duty Recovery","5157 US-23, Alpena, MI 49707","Alpena","MI","49707","(989) 356-6708","","","https://www.google.com/maps/place/Jeromes+Towing+%26+Heavy+Duty+Recovery/data=!4m7!3m6!1s0x4d335962f860d201:0x2ec89c46f1d32099!8m2!3d45.122464!4d-83.446299!16s%2Fg%2F1v6l73mr!19sChIJAdJg-GJZM00RmSDT8UacyC4?authuser=0&hl=en&rclk=1"
"Frontline Towing & Recovery","628 E Lake St, Stanton, MI 48888","Stanton","MI","48888","(989) 287-2278","","frontlinetow.com","https://www.google.com/maps/place/Frontline+Towing+%26+Recovery/data=!4m7!3m6!1s0x88189b28e3fb2c55:0xf26bb2dc7a67b15a!8m2!3d43.2901569!4d-85.0748576!16s%2Fg%2F11qb50lfz2!19sChIJVSz74yibGIgRWrFnetyya_I?authuser=0&hl=en&rclk=1"
"Lenny & Squiggy’s Towing","1021 Owen Mumaw Industrial Dr, Greenville, MI 48838","Greenville","MI","48838","(616) 754-9450","","","https://www.google.com/maps/place/Lenny+%26+Squiggy%E2%80%99s+Towing/data=!4m7!3m6!1s0x88188d2bc54fe9b7:0x955e2b85be53a813!8m2!3d43.1971792!4d-85.2690245!16s%2Fg%2F1v7tl_5g!19sChIJt-lPxSuNGIgRE6hTvoUrXpU?authuser=0&hl=en&rclk=1"
"Oceana Auto LLC","709 S Emily St, Ludington, MI 49431","Ludington","MI","49431","(231) 843-6500","","oceana-auto.com","https://www.google.com/maps/place/Oceana+Auto+LLC/data=!4m7!3m6!1s0x881c10c0c386b629:0xdc567f16d95e98f8!8m2!3d43.9486417!4d-86.4406826!16s%2Fg%2F1tfv14x0!19sChIJKbaGw8AQHIgR-Jhe2RZ_Vtw?authuser=0&hl=en&rclk=1"
"Big Rapids Towing","20833 18 Mile Rd, Big Rapids, MI 49307","Big Rapids","MI","49307","(231) 796-2222","","bigrapidstowing.net","https://www.google.com/maps/place/Big+Rapids+Towing/data=!4m7!3m6!1s0x881f2c93b9bdfb3f:0x57200ebcea7ca7e3!8m2!3d43.7278137!4d-85.501007!16s%2Fg%2F1td5xs5l!19sChIJP_u9uZMsH4gR46d86rwOIFc?authuser=0&hl=en&rclk=1"
"M&M Towing","850 E Emmett St, Battle Creek, MI 49014","Battle Creek","MI","49014","(269) 753-0000","","mandmtowing247.com","https://www.google.com/maps/place/M%26M+Towing/data=!4m7!3m6!1s0x8817f0f8acff8103:0xccef0f67155e2ecc!8m2!3d42.3310099!4d-85.1423134!16s%2Fg%2F1td3m60t!19sChIJA4H_rPjwF4gRzC5eFWcP78w?authuser=0&hl=en&rclk=1"
"Sunrise Side Towing","208 Saginaw St, Sterling, MI 48659","Sterling","MI","48659","(989) 654-3333","","sunrisesidetowing.com","https://www.google.com/maps/place/Sunrise+Side+Towing/data=!4m7!3m6!1s0x8821114996fa1b7d:0x974ce617aa100ec4!8m2!3d44.0337877!4d-84.0229425!16s%2Fg%2F1tp2__b3!19sChIJfRv6lkkRIYgRxA4QqhfmTJc?authuser=0&hl=en&rclk=1"
"The Royal Oak Towing Company","303 E Harrison Ave, Royal Oak, MI 48067","Royal Oak","MI","48067","(248) 720-6637","","royaloaktowing.org","https://www.google.com/maps/place/The+Royal+Oak+Towing+Company/data=!4m7!3m6!1s0x8824cfb00a4bd015:0xfede91a0e5b29aa7!8m2!3d42.4805457!4d-83.1413955!16s%2Fg%2F11q39xf93t!19sChIJFdBLCrDPJIgRp5qy5aCR3v4?authuser=0&hl=en&rclk=1"
"Gaylord Towing","501 N Center Ave, Gaylord, MI 49735","Gaylord","MI","49735","(989) 858-1695","","","https://www.google.com/maps/place/Gaylord+Towing/data=!4m7!3m6!1s0x4d35453672a2cf37:0x4412e9885fda1295!8m2!3d45.0324375!4d-84.6742152!16s%2Fg%2F11vyvtnqz0!19sChIJN8-icjZFNU0RlRLaX4jpEkQ?authuser=0&hl=en&rclk=1"
"Michigan Truck Towing & Recovery","","","","","(517) 936-8791","","michigantrucktowingandrecovery.com","https://www.google.com/maps/place/Michigan+Truck+Towing+%26+Recovery/data=!4m7!3m6!1s0x883d21c8975e7ca5:0x6f7e6516fca1061b!8m2!3d42.2363785!4d-84.2948195!16s%2Fg%2F11c3tcw_56!19sChIJpXxel8ghPYgRGwah_BZlfm8?authuser=0&hl=en&rclk=1"
"Ramos Towing","2444 S Getty St, Muskegon, MI 49444","Muskegon","MI","49444","(231) 733-1597","","ramosautobody.com","https://www.google.com/maps/place/Ramos+Towing/data=!4m7!3m6!1s0x88197dc842508627:0x890abc13d479444d!8m2!3d43.207611!4d-86.2242202!16s%2Fg%2F1hhxrhtpl!19sChIJJ4ZQQsh9GYgRTUR51BO8Cok?authuser=0&hl=en&rclk=1"
"Hill Top Towing","7275 W Remus Rd, Mt Pleasant, MI 48858","Mt Pleasant","MI","48858","(989) 330-9358","","","https://www.google.com/maps/place/Hill+Top+Towing/data=!4m7!3m6!1s0x8818a9617ffd9dd3:0x95527ac58a4ae0a0!8m2!3d43.5958698!4d-84.9926731!16s%2Fg%2F11p61rxb04!19sChIJ0539f2GpGIgRoOBKisV6UpU?authuser=0&hl=en&rclk=1"
"Gene's Towing & Recovery","711 Stephenson Ave, Escanaba, MI 49829","Escanaba","MI","49829","(906) 786-0004","","genestowingandrecovery.com","https://www.google.com/maps/place/Gene%27s+Towing+%26+Recovery/data=!4m7!3m6!1s0x4d4dbda1d9255f91:0x97d3cd08bc885d72!8m2!3d45.7543173!4d-87.0722434!16s%2Fg%2F11fn8sqnng!19sChIJkV8l2aG9TU0Rcl2IvAjN05c?authuser=0&hl=en&rclk=1"
"Lansing Towing & Recovery","","","","","(517) 272-9717","","","https://www.google.com/maps/place/Lansing+Towing+%26+Recovery/data=!4m7!3m6!1s0x8822c147b882c465:0xedadb9b3b3cf09d2!8m2!3d42.7009694!4d-84.5224345!16s%2Fg%2F11t4z1fc6p!19sChIJZcSCuEfBIogR0gnPs7O5re0?authuser=0&hl=en&rclk=1"
"Great Lakes Towing and Recovery","32984 Ford Rd, Westland, MI 48185","Westland","MI","48185","(734) 397-1529","","","https://www.google.com/maps/place/Great+Lakes+Towing+and+Recovery/data=!4m7!3m6!1s0x883b4cf0d71c61a3:0xc48e598157d1564e!8m2!3d42.3251794!4d-83.3662565!16s%2Fg%2F1pp2x6xrk!19sChIJo2Ec1_BMO4gRTlbRV4FZjsQ?authuser=0&hl=en&rclk=1"
"TC Towing & Recovery","697 Mizar Ct, Traverse City, MI 49685","Traverse City","MI","49685","(231) 932-0532","","tctowingandrecovery.com","https://www.google.com/maps/place/TC+Towing+%26+Recovery/data=!4m7!3m6!1s0x881e338622871b01:0x9f21c5b91e8936ff!8m2!3d44.696771!4d-85.653855!16s%2Fg%2F11byl1rw29!19sChIJARuHIoYzHogR_zaJHrnFIZ8?authuser=0&hl=en&rclk=1"
"A-One Towing of Flint","2726 W Court St, Flint, MI 48503","Flint","MI","48503","(810) 235-7947","","","https://www.google.com/maps/place/A-One+Towing+of+Flint/data=!4m7!3m6!1s0x8823838116b4cfa1:0xa61fd68c9f575c2f!8m2!3d43.0071642!4d-83.725704!16s%2Fg%2F11h05dpgm_!19sChIJoc-0FoGDI4gRL1xXn4zWH6Y?authuser=0&hl=en&rclk=1"
